#,Dhatu Name,English,IPA,Dhatu Meaning
873,निद्,nid,nid,"to ridicule, to reach"
874,निज्,nij,nid͡ʒ,"to washto wash, to purify, to nourish"
875,निक्ष्,niksh,nikʂ,to kiss
876,निल्,nil,nil,to understand with difficultyto become thick
877,नील्,nil,niːl,to be of a dark colourto dye dark
878,निन्द्,nind,nind,to blameto censureto condemn
879,निंस्,nins,nins,to kiss
880,निन्व्,ninv,ninv,to sprinkleto attend
881,निश्,nish,niʃ,to meditate upon
882,निष्,nish,niʂ,"to sprinkle, to moisten"
883,निष्क्,nishk,niʂk,"to measure, to weigh"
884,नीव्,niv,niːv,to become fat
885,निवास्,nivas,nivaːs,to cover
886,नृ,nri,nr̩,to carryto lead
887,नृत्,nrit,nr̩t,"to dance, to jesticulate"
888,णु,nu,ɳu,to sound
889,नु,nu,nu,to praise
890,नू,nu,nuː,to praise
891,नुद्,nud,nud,to throwto throwto pushto urge onto driveto removeto direct
892,ओख्,okh,okʰ,to be dryto be able or sufficientto adornto refuseto prevent
893,ओलज्,olaj,old͡ʒ,to throw up
894,ओलण्ड्,oland,olɳɖ,to throwto throw up
895,ओण्,on,oɳ,to removeto drag along
896,पा,pa,paː,"to drink, to feast on, to swallow upto protectto fgovernto preserve"
897,पच्,pach,pət͡ʃ,"to cookto bake, to burnto digest, to ripen, to developto make clearto spread, to make clear"
898,पद्,pad,pəd,"to go, to attain, to observeto go, to move"
899,पै,pai,pæː,"to dry, to wither"
900,पैण्,pain,pæːɳ,"to go, to send, to touch, to embrace"
901,पक्ष्,paksh,pəkʂ,"to seize, to accept, to take asideto seizeto accept, to take aside"
902,पल्,pal,pəl,to go
903,पाल्,pal,paːl,"to protect, to govern"
904,पण्,pan,pəɳ,"to praiseto transact business, to deal in, to barter, to bet, to stake"
905,पण्ड्,pand,pəɳɖ,"to destroy, to collectto go"
906,पन्त्,pant,pənt,"to thunder, to go"
907,पन्थ्,panth,pəntʰ,to go
908,पप्,pap,pəp,to go
909,पार्,par,paːr,"to bring to a conclusion, to accomplish"
910,पर्द्,pard,pərd,to break wind
911,पर्ण्,parn,pərɳ,to make green
912,पर्व्,parv,pərv,to fill
913,पस्,pas,pəs,to destroy
914,पश्,pash,pəʃ,"to bind, to fetter"
915,पष्,pash,pəʂ,"to go, to move"
916,पट्,pat,pəʈ,"to goto speak, to coverto string, to envelop, to clothe"
917,पत्,pat,pət,"to be master of, to rule, to possess, to be fit forto fall, to fly, to alight, to sink, to be degraded, to attack"
918,पठ्,path,pəʈʰ,"to declare, to mention, to cite, to study, to read, to recite"
919,पथ्,path,pətʰ,to throw
920,पय्,pay,pəj,to go
921,पेल्,pel,pel,to go
922,पेस्,pes,pes,to go
923,पेष्,pesh,peʂ,"to resolve upon, to strive diligently for"
924,पेव्,pev,pev,to serve
925,फक्क्,phakk,pʰəkk,"to behave ill, to go softly"
926,फल्,phal,pʰəl,"to bear fruit, to result, to succeed, to be useful or fruitfulto burst open, to split"
927,फण्,phan,pʰəɳ,"to go, to produce easily"
928,फेल्,phel,pʰel,to go
929,पि,pi,pi,to go
930,पी,pi,piː,to drink
931,पिच्छ्,pichchh,pit͡ʃt͡ʃʰ,"to split, to cut, to divide"
932,पीड्,pid,piːɖ,"to afflict, to harass, to annoy, to squeeze, to press, to oppose, to give pain"
933,पिज्,pij,pid͡ʒ,"to kill, to be strong, to take, to dwellto speak, to shineto tingeto colourto jointo divideto speak inarticulately"
934,पील्,pil,piːl,to checkto impedeto obstruct
935,पिण्ड्,pind,piɳɖ,"to roll into a lump, to heapto roll into a lump, to heapto unite"
936,पिंस्,pins,pins,"to speak, to shine"
937,पिन्व्,pinv,pinv,"to sprinkle, to serve"
938,पिस्,pis,pis,to goto go
939,पिश्,pish,piʃ,to formto be reduced to constituent partto light
940,पिष्,pish,piʂ,"to grind, to pound, to crush"
941,पिट्,pit,piʈ,to injureto killto feel painto soundto assembleto heap together
942,पीव्,piv,piːv,to be fat or thick
943,प्लक्ष्,plaksh,pləkʂ,to eat
944,प्ली,pli,pliː,to go
945,प्लिह्,plih,pliɦ,to go
946,प्लु,plu,plu,"to go, to jump, to fly, to float, to swim"
947,प्लुष्,plush,pluʂ,"to burn, to scorch"
948,प्ल्यूल्,plyul,pljuːl,"to cut, to wash in water impregnated with alkaline salt"
949,प्रा,pra,praː,to fill
950,प्रच्छ्,prachchh,prət͡ʃt͡ʃʰ,to askto seekto desireto know
951,प्रस्,pras,prəs,"to extend, to expand"
952,प्रथ्,prath,prətʰ,"to become famous, to increase, to spread abroad, to arise, to appearto proclaim, to manifest, to increase, to throw, to publish"
953,प्रेङ्ख्Oल्,prenkhol,preŋkʰol,"to swing, to shake"
954,प्रेष्,presh,preʂ,to go
955,पृ,pri,pr̩,"to be busy or activeto pleaseto protect, to fill, to gratify , to blowto protect, to fill, to promote, to deliverto protect, to fillto protect, to nourish, to fill, to blow, to satisfy"
956,प्री,pri,priː,"to please, to be satisfied, to feel affection forto please, to delight, to show kindness to, to love, to desire, to take delight into please, to gratify"
957,पृच्,prich,pr̩t͡ʃ,"to come in contact withto touchto hinder, to oppose, to jointo touch, to bring into contact with, to unite, to satiate, to increase"
958,पृज्,prij,pr̩d͡ʒ,to dye
959,पृष्,prish,pr̩ʂ,"to sprinkle, to hurt, to vex"
960,पृथ्,prith,pr̩tʰ,"to goto throw, to send, to direct"
961,प्र्Oथ्,proth,protʰ,"to be equal to, to be a match for, to be complete"
962,प्रु,pru,pru,"to go, to jump"
963,प्रुष्,prush,pruʂ,"to burn, to reduce to ashesto become wet, to sprinkle"
964,प्रुट्,prut,pruʈ,to rub
965,प्सा,psa,psaː,to devourto eat
966,पू,pu,puː,to purify or clean from chaffto purifyto discernto contrive
967,पुड्,pud,puɖ,to gladdento grind
968,पुह्,puh,puɦ,to quitto dismiss
969,पूज्,puj,puːd͡ʒ,"to worship, to honour"
970,पुल्,pul,pul,"to be great or largeto be great or largeto be lofty or high, to be heaped upto heap, to be great or large"
971,पूल्,pul,puːl,"to collect, to gather, to heap up, to assemble"
972,पुण्,pun,puɳ,to be pure or virtuousto do a holy workto collectto pleaseto propitiate
973,पुण्ड्,pund,puɳɖ,"to grind, to pound"
974,पुंस्,puns,puns,"to increase, to crash, to pain, to punish"
975,पुण्ट्,punt,puɳʈ,"to speak, to shine"
976,पुन्थ्,punth,puntʰ,"to kill, to suffer pain"
977,पुर्,pur,pur,to precedeto lead
978,पूर्,pur,puːr,"to fill, to satisfy, to be full, to be satisfiedto kill, to cover, to intensify"
979,पूर्ण्,purn,puːrɳ,to collect
980,पुर्व्,purv,purv,"to dwell, to inviteto fill"
981,पुष्,push,puʂ,"to maintain, to promoteto nourish, to bring upto develop, to support, to augmentto showto haveto nourish, to develop, to supportto enhance, to getto nourish, to support, to develop, to increase, to possess"
982,पूष्,push,puːʂ,"to nourish, to increase, to grow"
983,पुष्प्,pushp,puʂp,"to blow, to flower"
984,पुस्त्,pust,pust,"to honour, to dishonour, to respect, to disrespect"
985,पुट्,put,puʈ,"to be in contact, to bind togetherto embraceto intertwineto speak, to shine"
986,पुथ्,puth,putʰ,to kill
987,पुट्ट्,putt,puʈʈ,"to decrease, to diminish"
988,पूय्,puy,puːj,"to split, to stink"
989,प्यै,pyai,pjæː,to grow
990,प्याय्,pyay,pjaːj,"to grow, to increase, to swell"
991,रा,ra,raː,to giveto grant
992,रभ्,rabh,rəb̤,"to begin, to desire, to act rashly"
993,रच्,rach,rət͡ʃ,"to arrange, to compose, to effect"
994,रद्,rad,rəd,"to split, to scratch"
995,रध्,radh,rəd̤,"to kill, to injure, to cook, to finish"
996,राध्,radh,raːd̤,"to accomplishto killto propitiateto grow, to be ready, to be favourable, to look to the welfare of"
997,रग्,rag,rəɡ,to doubt
998,राघ्र,raghra,raːɡ̤rə,to be able
999,रह्,rah,rəɦ,"to abandon, to quit"
1000,रै,rai,ræː,to sound
1001,रज्,raj,rəd͡ʒ,"to be coloured, to redden, to dye, to be attached to, to be excited, to be pleased withto please"
1002,राज्,raj,raːd͡ʒ,"to shine, to glitter, to appear like"
1003,रक्,rak,rək,"ragh to taste, to obtain"
1004,रख्,rakh,rəkʰ,to go
1005,राख्,rakh,raːkʰ,"to dry, to adorn, to be able"
1006,रक्ष्,raksh,rəkʂ,"to protect, to watch, to take care of"
1007,रम्,ram,rəm,"to sport, to rest, to be pleased, to rejoice at, to have sexual intercourse with"
1008,रम्ब्,ramb,rəmb,to sound
1009,रम्फ्,ramph,rəmpʰ,"to go, to kill"
1010,रण्,ran,rəɳ,"to goto sound, to ring, to jingle"
1011,रङ्घ्,rangh,rəŋɡ̤,"to go, to hastento speak, to shine"
1012,रंह्,ranh,rənɦ,"to go, to moveto speak, to shine"
1013,रङ्ख्,rankh,rəŋkʰ,"to go, to move"
1014,रण्व,ranva,rəɳvə,to go
1015,रप्,rap,rəp,"to talk, to speak"
1016,रफ्,raph,rəpʰ,"to kill, to go"
1017,रस्,ras,rəs,"to roar, to cry, to make noise, to praiseto taste, to relish, to love"
1018,रश्,rash,rəʃ,to sound
1019,राश्,rash,raːʃ,to sound
1020,रट्,rat,rəʈ,"to roar, to yell, to proclaim aloud, to shout"
1021,रय्,ray,rəj,"to go, to move"
1022,रेभ्,rebh,reb̤,to speak
1023,रेच्,rech,ret͡ʃ,"to separate, to join, to mix"
1024,रेघ्,regh,reɡ̤,"to utter an inarticulate sound, to neigh, to roar"
1025,रेक्,rek,rek,to doubt
1026,रेप्,rep,rep,"to go, to move"
1027,रेट्,ret,reʈ,"to speak, to ask, to request"
1028,रेव्,rev,rev,"to leap, to go, to move"
1029,ऋ,ri,r̩,to killto goto goto goto acquire
1030,रि,ri,ri,"to go, to moveto kill"
1031,री,ri,riː,"to goto moveto howlto ooze, to flow"
1032,ऋच्,rich,r̩t͡ʃ,to praise
1033,रिच्,rich,rit͡ʃ,"to purge, to empty, to evacuateto separate, to divide, to join"
1034,ऋच्छ्,richchh,r̩t͡ʃt͡ʃʰ,"to goto fail in faculties, to become hard or congeal"
1035,ऋध्,ridh,r̩d̤,"to increase, to prosper, to pleaseto increase, to prosper"
1036,ऋज्,rij,r̩d͡ʒ,to fryto goto standto gainto acquireto be healthy
1037,रिख्,rikh,rikʰ,"to go, to move"
1038,ऋक्षि,rikshi,r̩kʂi,to kill
1039,ऋण्,rin,r̩ɳ,to go
1040,रिङ्ख्,rinkh,riŋkʰ,"to go, to move"
1041,रिण्व्,rinv,riɳv,"to go, to move"
1042,रिफ्,riph,ripʰ,"to boast, to speak, to fight, to censure, to kill, to give"
1043,ऋफ्,riph,r̩pʰ,to kill
1044,रिश्,rish,riʃ,to kill
1045,रिष्,rish,riʂ,"to kill, to destroyto kill, to destroy, to injure"
1046,ऋश्,rish,r̩ʃ,to killto go
1047,ऋष्,rish,r̩ʂ,to be proud
1048,ऋत्,rit,r̩t,"to reproach, to pity, to go, to rivalto have power"
1049,र्Oड्,rod,roɖ,"to despise, to be mad"
1050,रु,ru,ru,"to cryto roarto shoutto soundto go, to kill"
1051,रुच्,ruch,rut͡ʃ,"to shine, to please, to like, to appear good"
1052,रुद्,rud,rud,to shed tearsto cryto weepto lament
1053,रुध्,rudh,rud̤,"to desire, to love, to comply with, to obeyto oppose, to obstruct, to besiege, to enclose, to obscure, to harass"
1054,रुह्,ruh,ruɦ,"to grow from seed, to become manifest, to grow, to rise, to ascend"
1055,रुज्,ruj,rud͡ʒ,"to break, to destroyto bend, to pain, to injureto kill"
1056,रूक्ष्,ruksh,ruːkʂ,to be harsh or roughto make dry
1057,रुण्ड्,rund,ruɳɖ,to steal
1058,रुंश्,runsh,runʃ,"to speak, to shine"
1059,रुण्ट्,runt,ruɳʈ,"to steal, to rob"
1060,रुण्ठ्,runth,ruɳʈʰ,"to stealto be lame, to go"
1061,रुप्,rup,rup,"to violate, to confound, to disturb"
1062,रूप्,rup,ruːp,"to form, to represent on the stage, to see, to consider"
1063,रुश्,rush,ruʃ,to kill
1064,रुष्,rush,ruʂ,to be angryto killto kill
1065,रूष्,rush,ruːʂ,"to decorate, to smear, to cover"
1066,रुट्,rut,ruʈ,"to be angryto strike down, to fellto strike, to oppose"
1067,रुठ्,ruth,ruʈʰ,"to speak, to shine"
1068,सभाज्,sabhaj,səb̤aːd͡ʒ,"to please, to serve, to salute, to honour"
1069,सच्,sach,sət͡ʃ,"to sprinkle, to serve"
1070,सद्,sad,səd,"to divide, to break, to go, to wither, to despond, to be wearyto divide, to break, to go, to wither, to despond, to be wearyto go, to approach"
1071,साध्,sadh,saːd̤,to accomplish
1072,सग्,sag,səɡ,to cover
1073,सघ्,sagh,səɡ̤,to kill
1074,सह्,sah,səɦ,"to forbear, to be ableto satisfy, to be plesedto suffer, to forbear, to be patient, to wait, to be able to resist, to conquer, to stop"
1075,सै,sai,sæː,"to waste away, to decline"
1076,सज्,saj,səd͡ʒ,"to cling to, to fasten, to embrace"
1077,सल्,sal,səl,"to go, to move"
1078,सम्,sam,səm,to be composedto change form
1079,साम्,sam,saːm,"to conciliate, to console"
1080,सम्ब्,samb,səmb,"to collectto go, to creep"
1081,साम्ब्,samb,saːmb,to collect
1082,सन्,san,sən,"to diveto give, to honour, to obtain, to worship"
1083,सङ्ग्राम्,sangram,səŋɡraːm,to fight
1084,सङ्केत्,sanket,səŋket,"to invite, to counsel"
1085,संस्त्,sanst,sənst,to sleep
1086,सान्त्व्,santv,saːntv,"to appease, to console"
1087,सप्,sap,səp,to connect
1088,सार्,sar,saːr,to be weak
1089,सर्ब्,sarb,sərb,"to go, to move"
1090,सर्व्,sarv,sərv,"to go, to kill"
1091,सस्,sas,səs,to sleep
1092,सस्ज्,sasj,səsd͡ʒ,"to go, to become ready"
1093,सट्,sat,səʈ,to be a part or portion
1094,सत्र्,satr,sətr,"to extend, to spread"
1095,सट्ट्,satt,səʈʈ,"to hurt, to kill"
1096,सेच्,sech,set͡ʃ,to be associated with
1097,सेक्,sek,sek,"to go, to move"
1098,सेल्,sel,sel,"to go, to move"
1099,सेव्,sev,sev,"to serve, to honour, to follow, to use, to enjoy, to cultivate, to practise, to devote oneself to, to inhabit, to frequent, to guard, to protect"
1100,शब्द्,shabd,ʃəbd,"to make manifest , to make any sound, to utter"
1101,शच्,shach,ʃət͡ʃ,"to speak, to say, to tell"
1102,शड्,shad,ʃəɖ,"to hurt, to cause disease, to collect"
1103,शद्,shad,ʃəd,"to perish graduallyto perish, to fall, to wither, to decay"
1104,शाड्,shad,ʃaːɖ,to praise
1105,शै,shai,ʃæː,to cook
1106,शक्,shak,ʃək,"to be ableto be powerfulto bearto endure, to be able"
1107,शाख्,shakh,ʃaːkʰ,to pervade
1108,शल्,shal,ʃəl,"to go, to moveto shake, to cover"
1109,शाल्,shal,ʃaːl,"to praise, to shine, to be endowed with, to tell"
1110,शल्भ्,shalbh,ʃəlb̤,"to praise, to boast"
1111,शम्,sham,ʃəm,"to be calmto look at, to inspect, to show"
1112,शम्ब्,shamb,ʃəmb,to accumulate
1113,शण्,shan,ʃəɳ,"to give, to go"
1114,शान्,shan,ʃaːn,to whet
1115,शङ्क्,shank,ʃəŋk,"to fear, to doubt, to suspect"
1116,शंस्,shans,ʃəns,"to praise, to be in distres, to tell, to indicateto wish, to expect, to bless"
1117,शप्,shap,ʃəp,"to curse, to imprecate, to swearto curse, to swear"
1118,शर्ब्,sharb,ʃərb,"to go, to moveto kill"
1119,शस्,shas,ʃəs,to kill
1120,शास्,shas,ʃaːs,"to desire, to seek, to bless, to praiseto teach, to inform, to rule, to command, to punish, to advise"
1121,शश्,shash,ʃəʃ,"to jump, to dance"
1122,शष्,shash,ʃəʂ,to kill
1123,शट्,shat,ʃəʈ,"to be sick, to divide, to pierce, to go, to be weary"
1124,शठ्,shath,ʃəʈʰ,"to cheat, to defraudto leave unfinishedto speak ill or well"
1125,शौट्,shaut,ʃɔːʈ,to be proud
1126,शव्,shav,ʃəv,"to go, to move"
1127,श्चुत्,shchut,ʃt͡ʃut,"to ooze, to diffuse"
1128,शेल्,shel,ʃel,"to go, to move"
1129,शेव्,shev,ʃev,"to worship, to serve"
1130,शि,shi,ʃi,to whetto excite
1131,शी,shi,ʃiː,"to sleep, to lie down"
1132,शीभ्,shibh,ʃiːb̤,to boast
1133,शिघ्,shigh,ʃiɡ̤,to smell
1134,शिज्,shij,ʃid͡ʒ,"to tinkle, to rattle, to whisper"
1135,शीक्,shik,ʃiːk,"to be angry, to touchto speak, to shine, to be angry, to touch"
1136,शिख्,shikh,ʃikʰ,"to go, to move"
1137,शिक्ष्,shiksh,ʃikʂ,"to learn, to practise"
1138,शिल्,shil,ʃil,to glean
1139,शील्,shil,ʃiːl,"to meditate, to intendto practise repeatedly, to exercise, to visit, to honour"
1140,शिष्,shish,ʃiʂ,"to distinguish, to leave as a remainderto kill, to leave as a remainderto leave a residue"
1141,शिट्,shit,ʃiʈ,to disregard
1142,श्लाघ्,shlagh,ʃlaːɡ̤,"to praise, to flatter, to boast"
1143,श्लाख्,shlakh,ʃlaːkʰ,"to pervade, to penetrate"
1144,श्लङ्क्,shlank,ʃləŋk,"to go, to move"
1145,श्लथ्,shlath,ʃlətʰ,to hurt
1146,श्लिष्,shlish,ʃliʂ,"to burnto embrace, to collect"
1147,श्लीष्,shlish,ʃliːʂ,"to embrace, to adhere to, to unite"
1148,श्ल्Oक्,shlok,ʃlok,"to heap together, to collect, to versify"
1149,श्ल्Oण्,shlon,ʃloɳ,to collect
1150,श्मील्,shmil,ʃmiːl,to wink
1151,श्O,sho,ʃo,"to whet, to make thin"
1152,श्Oण्,shon,ʃoɳ,"to be red, to go"
1153,श्रा,shra,ʃraː,"to cook, to boil"
1154,श्रै,shrai,ʃræː,to cook
1155,श्रम्,shram,ʃrəm,"to perform acts of penance, to be fatigued"
1156,श्रम्भ्,shrambh,ʃrəmb̤,"to be careless, to err"
1157,श्रण्,shran,ʃrəɳ,to giveto give
1158,श्रङ्क,shranka,ʃrəŋkə,"to go, to move"
1159,श्रन्थ्,shranth,ʃrəntʰ,"to arrangeto loosento loosen, to liberate, to gladden, to bindto arrange"
1160,श्रथ्,shrath,ʃrətʰ,"to be weakto killto liberate, to killto make effort, to set out"
1161,शृ,shri,ʃr̩,"to tear asunder, to split in pieces, to hurt, to kill"
1162,श्रि,shri,ʃri,"to serve, to depend upon"
1163,श्री,shri,ʃriː,"to cook, to dress"
1164,शृध्,shridh,ʃr̩d̤,"to break windto insult, to mock atto moisten, to wet, to cut off"
1165,श्रिस्,shris,ʃris,to burn
1166,शृष्,shrish,ʃr̩ʂ,to bring forth
1167,श्र्Oण्,shron,ʃroɳ,"to heap together, to collect"
1168,श्रु,shru,ʃru,"to go, to move"
1169,ष्ठिव्,shthiv,ʂʈʰiv,spit
1170,शुभ्,shubh,ʃub̤,"to shineto speak, to shine, to killto shine, to look beautiful"
1171,शुच्,shuch,ʃut͡ʃ,"to be wet, to be cleanto regret, to grive for, to bewail"
1172,शुच्य,shuchya,ʃut͡ʃjə,"to perform ablution, to squeeze out juice, to distil"
1173,शुध्,shudh,ʃud̤,"to become pure, to be made clear"
1174,शूल्,shul,ʃuːl,"to be ill, to collect"
1175,शुल्क्,shulk,ʃulk,"to leave, to forsake, to pay, to give, to give, to gain"
1176,शुन्,shun,ʃun,to go
1177,शुन्ध्,shundh,ʃund̤,"to purifyto purify, to make clean"
1178,शुण्ठ्,shunth,ʃuɳʈʰ,"to dry, to become dry"
1179,शूप्,shup,ʃuːp,to measure
1180,शूर्,shur,ʃuːr,"to be powerful, to be valiantto strike, to be firm"
1181,शुष्,shush,ʃuʂ,"to become dry, to be withered"
1182,शुट्,shut,ʃuʈ,"to resist, to go lame"
1183,शुठ्,shuth,ʃuʈʰ,to be lazy
1184,श्वभ्,shvabh,ʃvəb̤,"to go, to move"
1185,श्वल्,shval,ʃvəl,to run
1186,श्वल्क्,shvalk,ʃvəlk,"to tell, to narrate"
1187,श्वङ्क्,shvank,ʃvəŋk,śvac to go
1188,श्वस्,shvas,ʃvəs,"to breath, to sigh, to hiss"
1189,ष्वष्क्,shvashk,ʂvəʂk,to go
1190,श्वठ्,shvath,ʃvəʈʰ,"śvaṅṭh to leave unfinished, to goto speak ill or well"
1191,श्वि,shvi,ʃvi,"to move, to increase, to grow, to swell"
1192,श्विन्द्,shvind,ʃvind,to be white
1193,श्वित्,shvit,ʃvit,to be white
1194,श्यै,shyai,ʃjæː,"to go, to move, to witherto dry up"
1195,सि,si,si,"to tieto tie, to bind"
1196,सिभ्,sibh,sib̤,to kill
1197,सिच्,sich,sit͡ʃ,"to sprinkle, to moisten, to scatter"
1198,सिध्,sidh,sid̤,"to be accomplished, to succeed, to be thoroughly preparedto goto ordain, to instruct, to do an auspicious act, to turn out auspiciously, to ward off, to restrain, to interdict"
1199,सीक्,sik,siːk,to sprinkle
1200,सिल्,sil,sil,to glean
1201,सिम्भ्,simbh,simb̤,to kill
1202,सिन्व्,sinv,sinv,to sprinkle
1203,सिट्,sit,siʈ,to disregard
1204,सिव्,siv,siv,"to sew, to sow"
1205,स्कम्भ्,skambh,skəmb̤,"to obstructto obstruct, to stop"
1206,स्कन्द्,skand,skənd,"to go, to be dry"
1207,स्खद्,skhad,skʰəd,"to destroy, to cut"
1208,स्खल्,skhal,skʰəl,"to stumble, to totter, to deviate, to blunder, to err, to stammer, to drop"
1209,स्कु,sku,sku,"to go by leaps, to cover, to raise"
1210,स्कुम्भ्,skumbh,skumb̤,"to hinder, to hold"
1211,स्कुन्द्,skund,skund,"to jump, to raise, to lift"
1212,स्मि,smi,smi,"to smile, to expand, to bloom"
1213,स्मील,smila,smiːl,to wink
1214,स्मिट्,smit,smiʈ,"to disrespect, to slight, to despise"
1215,स्मृ,smri,smr̩,"to rememberto recollectto long for, to regretto remember, to recollect, to think upon, to recite mentally, to record in a smriti"
1216,स्ना,sna,snaː,to bathe
1217,स्नै,snai,snæː,"to cover, to wrap, to adorn"
1218,स्नस्,snas,snəs,"to reject, to eject"
1219,स्निह्,snih,sniɦ,"to feel affection for, to love, to be kind toto love, to account, to dissolve"
1220,स्निव्,sniv,sniv,"to go, to dry"
1221,स्नु,snu,snu,to ooze
1222,स्नुह्,snuh,snuɦ,to vomit
1223,स्नुस्,snus,snus,"to eat, to take, to disappear"
1224,स्O,so,so,"to put an end to, to kill, to finish"
1225,स्पर्ध्,spardh,spərd̤,"to contend with, to vie with, to emulate, to challenge"
1226,स्पश्,spash,spəʃ,"to obstruct, to touch, to perceive clearly, to undertake, to string togetherto take, to embrace"
1227,स्फर्,sphar,spʰər,"to tremble, to move"
1228,स्फाय्,sphay,spʰaːj,"to grow fat, to increase, to expand"
1229,स्फिट्,sphit,spʰiʈ,to feel affection for
1230,स्फिट्ट्,sphitt,spʰiʈʈ,to kill
1231,स्फुड्,sphud,spʰuɖ,to cover
1232,स्फुल्,sphul,spʰul,"to tremble, to throb"
1233,स्फुण्ट्,sphunt,spʰuɳʈ,"to laugh at, to joketo open, to expand"
1234,स्फुर्,sphur,spʰur,"to throb, to palpitate, to become agitated, to start, to appear clearly, to flash"
1235,स्फुर्च्छ्,sphurchchh,spʰurt͡ʃt͡ʃʰ,"to spreak, to extend, to forget"
1236,स्फूर्ज्,sphurj,spʰuːrd͡ʒ,"to thunder, to explode, to glitter, to burst"
1237,स्फुट्,sphut,spʰuʈ,"to blow, to blossom, to breakto burst, to break opento burstto blossomto blowto split open"
1238,स्पृ,spri,spr̩,"to gratify, to defend, to shake"
1239,स्पृह्,sprih,spr̩ɦ,"to wish, to envy"
1240,स्पृश्,sprish,spr̩ʃ,"to touch, to cling to, to act uponto affect, to accept, to reach, to wash"
1241,स्रम्भ्,srambh,srəmb̤,to errto entrust
1242,स्रङ्क्,srank,srəŋk,"to go, to move"
1243,स्रंस्,srans,srəns,"to fall down, to drop, to slip offto hang down"
1244,स्रेक्,srek,srek,"to go, to move"
1245,सृ,sri,sr̩,"to goto go, to move, to approach, to slip, to blow, to flowto run"
1246,सृभ्,sribh,sr̩b̤,"to kill, to slay"
1247,सृज्,srij,sr̩d͡ʒ,"to be abandoned, to dropto leave, to create, to let loose, to let off, to throw, to produce, to put on"
1248,सृप्,srip,sr̩p,"to go, to creep"
1249,स्रु,sru,sru,"to go, to flow"
1250,स्तभ्,stabh,stəb̤,"to stop, to support"
1251,स्तग्,stag,stəɡ,cover
1252,स्तै,stai,stæː,"to cover, to adorn"
1253,स्तक्,stak,stək,"to resist, to repel"
1254,स्तक्ष्,staksh,stəkʂ,"to go, to move"
1255,स्तम्,stam,stəm,"to be confused, not to be confused"
1256,स्तम्भ्,stambh,stəmb̤,"to stop, to hinder, to become stiff or naughty, to paralyze, to fix firmly"
1257,स्तन्,stan,stən,"to sound, to thunderto thunder"
1258,स्तेन्,sten,sten,to steal
1259,स्तेप्,step,step,to ooze
1260,स्था,stha,stʰaː,"to stand, to stay, to be"
1261,स्थग्,sthag,stʰəɡ,"to cover, to conceal"
1262,स्थल्,sthal,stʰəl,to stand firm
1263,स्थिघ्,sthigh,stʰiɡ̤,to ascendto assail
1264,स्थुड्,sthud,stʰuɖ,"to cover, to hide"
1265,स्थूल्,sthul,stʰuːl,"to become stout, to grow fat"
1266,स्तिम्,stim,stim,"to become wet, to moist"
1267,स्तिप्,stip,stip,to ooze
1268,स्त्Oम्,stom,stom,to praise
1269,स्तृ,stri,str̩,"to cover, to spread"
1270,स्तृह्,strih,str̩ɦ,"to kill, to hurt, to strike"
1271,स्तु,stu,stu,"to coverto praise, to glorify, to worship by hymns"
1272,स्तुभ्,stubh,stub̤,to stop
1273,स्तुच्,stuch,stut͡ʃ,to be pleased
1274,स्तुक्ष्,stuksh,stukʂ,"to go, to move"
1275,स्तूप्,stup,stuːp,"to collectto pile, to collect, to erect"
1276,स्त्यै,styai,stjæː,"to sound, to collect into a heap, to spread about, to crowd"
1277,सु,su,su,"to bring forth, to possess power or supremacy, to permitto bring forth, to possess supremacy, to permitto cause to bathe: to churnto pour outto batheto press out juiceto distil"
1278,सू,su,suː,"to bring forth as a childto bring forth as a childto impel, to drive, to discharge, to remit"
1279,सुभ्,subh,sub̤,"to speak, to killto speak, to kill"
1280,सूच्,such,suːt͡ʃ,"to betray, to reveal, to show, to ascertainto try, to bind"
1281,सूद्,sud,suːd,"to distil, to strike, to hurt, to destroy, to leak, to depositto strike, to wound, to distil, to deposit"
1282,सुह्,suh,suɦ,to be satisfied
1283,सुख्,sukh,sukʰ,to make happy
1284,सुर्,sur,sur,"to rule, to shine"
1285,सूर्क्ष्,surksh,suːrkʂ,to respect
1286,सूर्क्ष्य,surkshya,suːrkʂjə,"to envy, to despise"
1287,सुट्ट्,sutt,suʈʈ,to disrespect
1288,स्वद्,svad,svəd,"to be pleasant to the taste, to be liked, to taste, to eat, to pleaseto make sweet"
1289,स्वाद्,svad,svaːd,"to tasteto taste, to be pleasing"
1290,स्वज्,svaj,svəd͡ʒ,"to embrace, to clasp, to encircle"
1291,स्वन्,svan,svən,"to deck, to adornto sound, to sing"
1292,स्वप्,svap,svəp,"to sleep, to lie down"
1293,स्वर्,svar,svər,"to blame, to find fault with"
1294,स्वर्द्,svard,svərd,"to taste, to be pleasing"
1295,स्विद्,svid,svid,"to be greedy, to perspire, to be disturbed, to quitto perspire"
1296,स्वृ,svri,svr̩,"to sound, to praise, to pain"
1297,स्यम्,syam,sjəm,"to consider, to thinkto sound, to shout"
1298,स्यन्द्,syand,sjənd,"to ooze, to feelto throb, to quiver"
1299,तच्,tach,tət͡ʃ,"to contract, to shrinkto go"
1300,तड्,tad,təɖ,"to strike, to beat, to play upon a musical instrument, to speak"
1301,तक्,tak,tək,"to laugh atto bear, to fly or rush upon"
1302,तक्ष्,taksh,təkʂ,"to cut offto make thinto wound, to formto eatto pare, to cover"
